SMILES,Frequency,Percentage,MoleculeFrequency,MoleculePercentage
C=CC=CC=CC=CC=C,96,0.0001,95,0.0006
CCC1(C)CCCC2(C)C(C)C(C)(CCC12)C(C)CCC3CCC(C)(C)CC3,2,0.0000,2,0.0000
*,3,0.0000,2,0.0000
C,246796,0.1472,104815,0.6585
ccc(c1ccccc1)Ccc(c2ccccc2)CC,1,0.0000,1,0.0000
cccc1ccccc1Ccc(c2ccccc2)CC,1,0.0000,1,0.0000
c,3820,0.0023,2769,0.0174
*OC1=CC(=O)C(Cl)=CC1=O,1,0.0000,1,0.0000
c1ccc(cc1)CCCCCCCCC(c2ccccc2)c3ccccc3,1,0.0000,1,0.0000
c1ccc(cc1)C(c2ccc(cc2)C)CC,4,0.0000,4,0.0000
CCCCCCC(C)CC(C)C(CC)C(C)CCCCC,1,0.0000,1,0.0000
cc1c2ccccc2C(CC1)CC(C)C,11,0.0000,11,0.0001
CCCC(C)C1CCC(C)C1CCCC2(C)CCCC(C)(C)C2C,16,0.0000,16,0.0001
ccc(c)CCC(C)CC1C(C)CCC(C(C)C)C1C,1,0.0000,1,0.0000
CCCCC(C)C1CCC2(C)C(CCC2C3CCC(C)(CC)C3)C1C,5,0.0000,5,0.0000
ccc(c(cccC(C)Ccccc(ccccCC)C)C)CC,1,0.0000,1,0.0000
ccc(c)CC(C)CCC1(C)CCCC(C)(C)C1C,8,0.0000,8,0.0001
CC1C(CCC2(C)C(C)C12)C3CCCC(C)(C)C3,1,0.0000,1,0.0000
cc(cc(cC(C)CCC)C)C,1,0.0000,1,0.0000
cccccCc1ccccc1-cccc2ccccc2C,1,0.0000,1,0.0000
cc(cCC)-c1ccccc1,1,0.0000,1,0.0000
CC(C)C(C)CCC(C)CC1(C)CCC2C(CCC3C(C)CCC32C)C1,1,0.0000,1,0.0000
CCCC(CC)C(C)(C)C(C)C,1,0.0000,1,0.0000
*OC(=O)C=C[S+](*)[O-],9,0.0000,9,0.0001
c1cc2c(c(c1)C(C)C)CC(C)CC2,1,0.0000,1,0.0000
cc1ccccc1cc-cc(cc2ccccc2)C,1,0.0000,1,0.0000
c1cc(cccCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC)cc(c1)C,1,0.0000,1,0.0000
c1ccc(cc1)C2CCC(C)C(CC2)C(C)CC,10,0.0000,10,0.0001
